FIPS,HomePriceGrowth19to20,HomePriceGrowth18to19,HomePriceGrowth17to18,HomePriceGrowth17to19,HomePrices2019,Population,TotalCasesPercent,TotalDeathsPercentPopulation,MaskUse,ClintonVoteShare,StateLocalTax,JanAvgTemperature,RuralUrbanCode
1119,0.042,0.067,0.036,0.106,0.059,0.012,0.077,0.002,0.759,0.740,0.091,50.3,8
1121,0.068,0.050,0.042,0.094,0.102,0.08,0.089,0.002,0.530,0.363,0.091,48.1,4
1123,0.051,0.048,0.071,0.123,0.139,0.04,0.084,0.003,0.702,0.283,0.091,47.9,6
1125,0.049,0.048,0.045,0.095,0.177,0.209,0.110,0.002,0.779,0.384,0.091,49.2,3
1127,0.036,0.041,0.042,0.085,0.096,0.064,0.098,0.003,0.685,0.153,0.091,47.8,1
1129,0.193,0.041,0.092,0.137,0.087,0.016,0.092,0.002,0.802,0.278,0.091,52.4,8
1131,0.096,0.021,0.036,0.058,0.075,0.01,0.113,0.002,0.642,0.709,0.091,51.7,9
1133,0.008,0.032,0.040,0.074,0.11,0.024,0.102,0.002,0.495,0.085,0.091,45.8,6
2020,0.063,0.103,0.003,0.106,0.329,0.288,0.089,0.001,0.859,0.581,0.057,3,2
2090,0.046,-0.010,-0.018,-0.028,0.239,0.097,0.061,0.000,0.647,0.000,0.057,-13.9,3
2110,0.029,0.037,0.021,0.059,0.402,0.032,0.037,0.000,0.749,0.000,0.057,15.8,5
2122,0.057,0.079,0.036,0.118,0.24,0.059,0.067,0.000,0.859,0.000,0.057,4,7
2130,0.024,0.047,0.016,0.064,0.311,0.014,0.021,0.000,0.652,0.000,0.057,23.9,7
2150,0.033,0.045,0.028,0.073,0.323,0.013,0.080,0.000,0.866,0.000,0.057,14.9,7
2170,0.000,0.010,0.001,0.011,0.246,0.108,0.071,0.000,0.858,0.000,0.057,-5,2
2195,0.043,0.042,0.008,0.051,0.25,0.003,0.015,0.000,0.714,0.000,0.057,20,9
4001,0.068,0.032,0.057,0.090,0.18,0.072,0.137,0.005,0.851,0.618,0.096,32.7,6
4003,0.091,0.089,0.041,0.133,0.161,0.126,0.084,0.002,0.775,0.349,0.096,46.1,3
4005,0.103,0.039,0.050,0.091,0.369,0.143,0.109,0.002,0.812,0.542,0.096,35.5,3
4007,0.124,0.058,0.075,0.137,0.233,0.054,0.114,0.004,0.883,0.191,0.096,45,4
4009,0.070,0.035,0.050,0.086,0.18,0.039,0.133,0.002,0.602,0.163,0.096,45.3,7
4011,0.074,0.052,0.051,0.107,0.084,0.009,0.056,0.001,0.633,0.210,0.096,41.6,7
4012,0.069,0.043,0.074,0.120,0.191,0.021,0.109,0.003,0.743,0.265,0.096,53.8,6
4013,0.153,0.063,0.069,0.137,0.292,4.485,0.109,0.002,0.892,0.448,0.096,53.4,1
4015,0.143,0.067,0.107,0.181,0.247,0.212,0.095,0.003,0.749,0.218,0.096,45.7,3
4017,0.134,0.064,0.083,0.152,0.224,0.111,0.134,0.004,0.741,0.408,0.096,34,4
4019,0.129,0.069,0.065,0.138,0.222,1.047,0.100,0.002,0.880,0.533,0.096,51.8,2
4021,0.138,0.073,0.097,0.177,0.235,0.463,0.095,0.001,0.815,0.370,0.096,51.4,1
4023,0.072,0.051,0.052,0.106,0.163,0.046,0.162,0.003,0.911,0.711,0.096,46.9,4
4025,0.148,0.030,0.076,0.109,0.313,0.235,0.070,0.002,0.815,0.311,0.096,44.3,3
4027,0.131,0.052,0.041,0.095,0.165,0.214,0.167,0.003,0.933,0.464,0.096,55.4,3
5001,0.024,0.041,0.032,0.075,0.081,0.017,0.108,0.002,0.773,0.312,0.113,46.2,6
5003,0.033,0.059,0.084,0.147,0.061,0.02,0.086,0.001,0.712,0.298,0.113,48.7,7
5005,0.053,0.037,0.022,0.059,0.131,0.042,0.065,0.002,0.638,0.211,0.113,39.6,7
5007,0.119,0.048,0.058,0.108,0.206,0.279,0.093,0.001,0.803,0.289,0.113,40.2,2
5009,0.024,0.044,0.043,0.089,0.126,0.037,0.093,0.002,0.605,0.182,0.113,39.3,7
5011,-0.010,0.049,0.036,0.086,0.063,0.011,0.120,0.003,0.629,0.361,0.113,48,7
5013,0.025,0.046,0.055,0.104,0.062,0.005,0.072,0.001,0.615,0.282,0.113,47.2,9
5015,0.024,0.041,0.054,0.097,0.146,0.028,0.094,0.001,0.706,0.311,0.113,39.6,6
5017,0.053,0.013,0.063,0.077,0.043,0.01,0.156,0.004,0.628,0.563,0.113,48.1,7
